podcastID,post_total_episodes_analyzed,post_total_guests,post_urm_guests,post_female_guests,post_avg_ep_pct_female,post_avg_ep_pct_urm,post_overall_pct_urm,post_overall_pct_female
027a2b127b3e4faa9bedb7551777bdb9,3,3,2,3,100.0,66.66666666666667,66.66666666666666,100.0
02838325cab24d6e87da5d297bc68e3a,2,1,0,1,100.0,0.0,0.0,100.0
029f2a016a114e97a0527a62dd7968d1,6,8,2,2,33.333333333333336,11.111111111111109,25.0,25.0
02a2c6c5835144fcb3c01a160982d044,5,5,0,4,87.5,0.0,0.0,80.0
02be1b4ca1394973a91c261754aca728,11,4,0,0,0.0,0.0,0.0,0.0
02c35119d8724df086e092936d4ab657,7,8,0,3,28.571428571428573,0.0,0.0,37.5
02ef67786b604fa9b471777a2132bc2e,7,7,1,5,71.42857142857143,14.285714285714286,14.285714285714285,71.42857142857143
02f27fb24780443092b46d637d29abd3,13,3,0,1,33.333333333333336,0.0,0.0,33.33333333333333
030027d9b1f1489eac97c06c805d7b9f,6,6,0,0,0.0,0.0,0.0,0.0
0312b844d4cf4734afd9a3411ebd68ea,5,6,0,2,20.0,0.0,0.0,33.33333333333333
031c72a337304f5d8301c0afcbdc762e,4,4,0,4,100.0,0.0,0.0,100.0
032428de69ae41b698718f908bf884de,5,3,0,2,66.66666666666667,0.0,0.0,66.66666666666666
033959e2a6644291a36cefab1559a456,7,7,0,0,0.0,0.0,0.0,0.0
03520fc6f7e5420e84944f9a7d489ac7,6,6,1,6,100.0,16.666666666666668,16.666666666666664,100.0
035408802bd448318af4e66390ce0b5a,3,0,0,0,0.0,0.0,0.0,0.0
036aa9e10a2644b19ee0b3dcec1fb613,27,24,0,3,15.625,0.0,0.0,12.5
0372d4e3b28b45859268a62715882514,1,0,0,0,0.0,0.0,0.0,0.0
0379b611b0064f609ab481bdfb670eba,5,9,0,8,90.0,0.0,0.0,88.88888888888889
0385772cf0f0474c8c54aff783736068,23,26,0,15,56.52173913043478,0.0,0.0,57.692307692307686
03857ee93448479bb47fe188f4630a9d,1,0,0,0,0.0,0.0,0.0,0.0
0398169ef07c4611b0d1286a59816bfd,11,25,0,10,40.0,0.0,0.0,40.0
039e67280e884a7792ff1d37029eef28,6,13,0,6,47.22222222222222,0.0,0.0,46.15384615384615
03a75f2a281a471aaddc847576eb63f0,6,9,0,2,25.0,0.0,0.0,22.22222222222222
03aeb341bbfa460ea3f4f76b4be485d3,4,4,0,2,50.0,0.0,0.0,50.0
03baea45e3054002a2f91ffa4a6e6bda,1,2,0,0,0.0,0.0,0.0,0.0
03bf79b9d21d435b846906e538322cf0,69,84,5,34,41.30434782608695,7.246376811594203,5.952380952380952,40.476190476190474
03c0a99009d84121bb8e05deff336d71,4,4,0,2,50.0,0.0,0.0,50.0
