podcast_id,post_total_episodes_analyzed,post_total_guests,post_urm_guests,post_female_guests,post_pct_urm,post_pct_female
00039b57f2c24fec8fda832154c7dc32,4,7,0,0,0.0,0.0
0013a5f6fa4b4c67ac1f468eb533dc1f,2,0,0,0,0.0,0.0
0017187a6a244d86ab77cf10aacf3763,7,10,1,5,10.0,50.0
00281949487c4b7683546b487cecdcf6,2,0,0,0,0.0,0.0
003c82cc74bf4d02835c7afb65470b9e,7,7,2,5,28.57142857142857,71.42857142857143
003d77dcc0584d698cce0296fa8c7fea,5,8,0,4,0.0,50.0
0043f360f4c0461dabfdf40bfd63bb24,7,39,6,12,15.384615384615385,30.76923076923077
